ID,LESSON,SUBJECT,TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
1,1&2,Introduction,Tarbell 1 + 2: Introduction and Interview with Shawn Farquhar,0:00:10,---,---,---,,NONE
2,10-1,Effective Card Mysteries,The Rising Card Escape,0:00:10,1,194,"Chosen card rises from deck while deck is inside card box, sealed with rubberbands (including the magician's hand)","Spectator draws a card from deck of playing cards, shows, replaces it in deck, and shuffles. Performer places deck in card box and closes it. Spectator ties case onto performer's right hand with a handkerchief. At performers command, selected card rises from deck, appearing through case.",NONE
3,10-1,Effective Card Mysteries,Sealed Card Mystery,0:05:21,1,199,spectator selects card and places it inside card box. magician uses black queens to reveal the card's value and suit by changing the queens to the value and suit of the card,"3 Spectators select cards from shuffled deck. Performer never touches deck during selection. Each card is placed in an envelope and sealed. Those envelopes are then placed in bigger envelope. Deck is divided into 2 section. Top card on each section is shown. 1 of the envelopes is selected. Spectator lifts top card from each section. 1 card matches the suit, the other the value.",NONE
4,10-1,Effective Card Mysteries,A Psychological Impossibility,0:19:10,1,205,card placed in pocket. spectator selects packet of cards. spectator selects 1 card from packet and remembers position in packet. card disappears and reappears in magicians pocket ,"Performer picks up a number of cards from a shuffled deck, fans them out, and asks someone to think of any one card. Spectator who makes the selection is asked to remember which number from the end this card is. Performer closes up cards and places them on table. He then picks up remainder of pack and asks another spectator to remove any card but not to look at it. Magician places this card in his pocket. First spectator then tells what number from the end of first section of deck his card was. Magician looks through this first pile and finds that card is not there. He removes the card which was selected from the second pile from his pocket and first spectator finds that this is the card which he selected mentally from the first pile.",NONE
5,10-1,Effective Card Mysteries,The Hindu Color Changing Deck,0:28:44,1,208,red back deck switches places with blue back deck,"A deck of cards is shuffled Hindu fashion and backs of cards freely shown to be BLUE in color. Deck is then fanned face up and a spectator asked to select any card. The spectator is asked the color of the backs of the cards. He naturally says ""Blue"". Upon turning his card over it is a RED card. The deck is turned over and fanned and the whole deck has RED backs.",NONE
6,100-1,Magic with Apparatus,The Siberian Chain Escape,0:00:10,8,225,An escape using a seemingly innocent chain that has actually been carefully prepared to allow you to release yourself quite quickly and easily.,"The magician is securely bound with a heavy chain and padlock, often in full view of the audience. In an instant, they escape, completely free from the restraints, leaving the audience baffled.",NONE
7,100-1,Magic with Apparatus,The Mysterious Self-Filling Lota,0:08:25,8,228,"A metal vase with the uncanny ability to re-fill itself, many times.","A magician displays an apparently empty container, often a lota (a traditional Indian water pot). They proceed to pour water, sometimes seemingly endless amounts, from the lota despite it appearing to be empty. The audience is left wondering how a seemingly empty vessel can continue to produce water.",NONE
8,100-1,Magic with Apparatus,Tarbell's Ball and Vase Routine,0:24:42,8,231,"Dan Harlan's Ball Vase routine which gives you many magical moments, and even fools when you explain how it works.",,NONE
9,100-1,Magic with Apparatus,Tarbell's Orange Vase Combination,0:42:56,8,232,"A giant eyeball, or two, transforms and transports itself in this strange ball vase routine.","A magician shows a vase and a single orange, which they place inside. The orange mysteriously multiplies, vanishes, and reappears, sometimes even transforming into other objects like silk handkerchiefs. The impossible events happening inside the vase leave the audience enchanted and bewildered.",NONE
10,100-1,Magic with Apparatus,The Bran Vase,1:04:08,8,234,"Transform shredded paper into money, party favors, decorations, and even a cake!","The magician presents a seemingly ordinary vase, often filled with bran or a similar substance. Objects vanish and reappear within the vase, defying logic and expectations. The audience is left to wonder how items can disappear into thin air and reappear within the seemingly solid container.",NONE
